Algorithm,Local Noise,Comm Noise Mult,Strategy,CAT Error,tp Error
dj_indep_8q,0.015,1.1,no,0.23166666666666666,0.18333333333333332
dj_indep_8q,0.015,1.2,global,0.07333333333333333,0.18833333333333332
dj_indep_8q,0.015,1.2,local,0.14333333333333334,0.16333333333333333
dj_indep_8q,0.015,1.2,no,0.19166666666666665,0.18666666666666662
dj_indep_8q,0.02,1.0,global,0.06666666666666667,0.15166666666666664
dj_indep_8q,0.02,1.0,local,0.06,0.19999999999999993
dj_indep_8q,0.02,1.0,no,0.18833333333333332,0.2083333333333333
dj_indep_8q,0.02,1.1,global,0.09333333333333331,0.18999999999999997
dj_indep_8q,0.02,1.1,local,0.04333333333333326,0.23499999999999996
dj_indep_8q,0.02,1.1,no,0.20166666666666663,0.19333333333333336
dj_indep_8q,0.02,1.2,global,0.059999999999999935,0.21999999999999997
dj_indep_8q,0.02,1.2,local,0.0333333333333333,0.23166666666666666
dj_indep_8q,0.02,1.2,no,0.19999999999999998,0.1583333333333333
dj_indep_9q,0.001,1.0,global,0.12999999999999992,0.0733333333333333
dj_indep_9q,0.001,1.0,local,0.05999999999999996,0.048333333333333284
dj_indep_9q,0.001,1.0,no,0.08833333333333333,0.07833333333333331
dj_indep_9q,0.001,1.1,global,0.06333333333333334,0.07333333333333332
dj_indep_9q,0.001,1.1,local,0.0633333333333333,0.06333333333333335
dj_indep_9q,0.001,1.1,no,0.12666666666666662,0.06499999999999996
dj_indep_9q,0.001,1.2,global,0.04666666666666667,0.04999999999999997
dj_indep_9q,0.001,1.2,local,0.06666666666666667,0.0366666666666666
dj_indep_9q,0.001,1.2,no,0.10166666666666667,0.10499999999999998
dj_indep_9q,0.005,1.0,global,0.026666666666666634,0.10499999999999994
dj_indep_9q,0.005,1.0,local,0.12666666666666668,0.065
dj_indep_9q,0.005,1.0,no,0.09166666666666663,0.05499999999999996
dj_indep_9q,0.005,1.1,global,0.14000000000000004,0.0816666666666666
dj_indep_9q,0.005,1.1,local,0.07333333333333333,0.09333333333333337
dj_indep_9q,0.005,1.1,no,0.10333333333333332,0.10999999999999997
dj_indep_9q,0.005,1.2,global,0.06999999999999994,0.09166666666666663
dj_indep_9q,0.005,1.2,local,0.11,0.09499999999999997
dj_indep_9q,0.005,1.2,no,0.08166666666666667,0.11166666666666665
dj_indep_9q,0.01,1.0,global,0.05999999999999996,0.05166666666666662
dj_indep_9q,0.01,1.0,local,0.05666666666666667,0.09999999999999998
dj_indep_9q,0.01,1.0,no,0.04833333333333332,0.11499999999999998
dj_indep_9q,0.01,1.1,global,0.13666666666666666,0.0583333333333333
dj_indep_9q,0.01,1.1,local,0.03333333333333333,0.07999999999999997
dj_indep_9q,0.01,1.1,no,0.056666666666666636,0.05666666666666667
