origin,strategy,communication_noise_multiplier,local_noise,communication_primitive,num_qubits,circuit_depth,partitioned_depth,num_partitions_requested,num_partitions_tested,noise_free_expectation,noisy_expectation,zne_expectation,noisy_error,zne_error,error_reduction,partition_time,shots,seed
ghz_nativegates_ibm_opt0_9q,global,1.1,0.01,cat,9,11,10,4,4,-0.030000000000000027,-0.07000000000000003,-0.05999999999999995,0.04000000000000001,0.029999999999999923,0.25000000000000205,0.0024712085723876953,200,
ghz_nativegates_ibm_opt0_9q,global,1.2,0.01,cat,9,11,12,2,2,0.0,-0.07,0.07333333333333321,0.07,0.07333333333333321,-0.04761904761904574,0.0026900768280029297,200,
ghz_nativegates_ibm_opt0_9q,global,1.2,0.01,cat,9,11,10,4,4,0.12000000000000005,-0.04000000000000001,0.003333333333333351,0.16000000000000006,0.1166666666666667,0.2708333333333334,0.0027599334716796875,200,
ghz_nativegates_ibm_opt0_9q,global,1.0,0.02,cat,9,11,12,2,2,-0.010000000000000009,0.020000000000000018,0.010000000000000002,0.030000000000000027,0.02000000000000001,0.33333333333333354,0.0027091503143310547,200,
ghz_nativegates_ibm_opt0_9q,global,1.0,0.02,cat,9,11,10,4,4,0.010000000000000009,-0.07999999999999997,-0.21666666666666673,0.08999999999999998,0.22666666666666674,-1.51851851851852,0.0028412342071533203,200,
ghz_nativegates_ibm_opt0_9q,global,1.1,0.02,cat,9,11,12,2,2,0.07,0.06,0.011666666666666733,0.010000000000000009,0.05833333333333327,-4.833333333333322,0.0027167797088623047,200,
ghz_nativegates_ibm_opt0_9q,global,1.1,0.02,cat,9,11,10,4,4,-0.12999999999999995,-0.12000000000000004,-0.05999999999999994,0.009999999999999912,0.07,-6.000000000000062,0.0025680065155029297,200,
ghz_nativegates_ibm_opt0_9q,global,1.2,0.02,cat,9,11,12,2,2,-0.020000000000000018,0.010000000000000009,-0.07000000000000002,0.030000000000000027,0.05,-0.6666666666666653,0.0026929378509521484,200,
ghz_nativegates_ibm_opt0_9q,global,1.2,0.02,cat,9,11,10,4,4,-0.11000000000000004,0.05000000000000002,-0.0083333333333334,0.16000000000000006,0.10166666666666664,0.3645833333333337,0.0027091503143310547,200,
graphstate_nativegates_ibm_opt0_4q,local,1.0,0.001,cat,4,18,25,2,2,0.010000000000000002,-0.010000000000000009,0.009999999999999992,0.02000000000000001,1.0408340855860843e-17,0.9999999999999994,0.004333972930908203,200,
graphstate_nativegates_ibm_opt0_4q,local,1.0,0.001,cat,4,18,20,4,4,0.06999999999999999,-0.07000000000000002,0.02166666666666684,0.14,0.04833333333333315,0.6547619047619061,0.003787994384765625,200,
graphstate_nativegates_ibm_opt0_4q,local,1.1,0.001,cat,4,18,25,2,2,0.050000000000000024,-0.02,-0.05500000000000006,0.07000000000000002,0.1050000000000001,-0.5000000000000009,0.0035021305084228516,200,
graphstate_nativegates_ibm_opt0_4q,local,1.1,0.001,cat,4,18,20,4,4,-0.06999999999999999,-0.030000000000000027,-0.00833333333333309,0.039999999999999966,0.061666666666666904,-0.541666666666674,0.003401041030883789,200,
graphstate_nativegates_ibm_opt0_4q,local,1.2,0.001,cat,4,18,25,2,2,-0.04999999999999998,-0.04000000000000001,-0.0849999999999999,0.009999999999999974,0.03499999999999991,-2.5000000000000004,0.0035920143127441406,200,
graphstate_nativegates_ibm_opt0_4q,local,1.2,0.001,cat,4,18,20,4,4,0.09999999999999999,-0.02000000000000001,-0.05666666666666661,0.12,0.1566666666666666,-0.30555555555555497,0.0034332275390625,200,
graphstate_nativegates_ibm_opt0_4q,local,1.0,0.005,cat,4,18,25,2,2,1.3877787807814457e-17,-0.10999999999999995,-0.07999999999999999,0.10999999999999996,0.08,0.27272727272727243,0.0034668445587158203,200,
graphstate_nativegates_ibm_opt0_4q,local,1.0,0.005,cat,4,18,20,4,4,0.03,-0.01999999999999999,0.019999999999999886,0.04999999999999999,0.010000000000000113,0.7999999999999977,0.003761768341064453,200,
graphstate_nativegates_ibm_opt0_4q,local,1.1,0.005,cat,4,18,25,2,2,0.05000000000000002,-0.04000000000000001,-0.1216666666666666,0.09000000000000002,0.17166666666666663,-0.9074074074074066,0.003720998764038086,200,
graphstate_nativegates_ibm_opt0_4q,local,1.1,0.005,cat,4,18,20,4,4,-0.29,-0.06,0.03999999999999998,0.22999999999999998,0.32999999999999996,-0.4347826086956521,0.003875255584716797,200,
graphstate_nativegates_ibm_opt0_4q,local,1.2,0.005,cat,4,18,25,2,2,-0.049999999999999975,0.019999999999999983,-0.00833333333333355,0.06999999999999995,0.04166666666666642,0.4047619047619079,0.0035512447357177734,200,
graphstate_nativegates_ibm_opt0_4q,local,1.2,0.005,cat,4,18,20,4,4,0.04000000000000001,-0.020000000000000018,0.01333333333333334,0.060000000000000026,0.02666666666666667,0.5555555555555557,0.003612995147705078,200,
graphstate_nativegates_ibm_opt0_4q,local,1.0,0.01,cat,4,18,25,2,2,0.08000000000000006,-0.060000000000000074,-0.024999999999999942,0.14000000000000012,0.105,0.25000000000000067,0.003803730010986328,200,
graphstate_nativegates_ibm_opt0_4q,local,1.0,0.01,cat,4,18,20,4,4,0.07000000000000003,-0.04000000000000001,-0.05166666666666657,0.11000000000000004,0.1216666666666666,-0.10606060606060506,0.003762960433959961,200,
graphstate_nativegates_ibm_opt0_4q,local,1.1,0.01,cat,4,18,25,2,2,-0.03,0.12000000000000001,0.4016666666666669,0.15000000000000002,0.43166666666666687,-1.8777777777777787,0.0034868717193603516,200,
graphstate_nativegates_ibm_opt0_4q,local,1.1,0.01,cat,4,18,20,4,4,-0.16000000000000003,0.06,0.11833333333333333,0.22000000000000003,0.2783333333333334,-0.2651515151515152,0.003427743911743164,200,
graphstate_nativegates_ibm_opt0_4q,local,1.2,0.01,cat,4,18,25,2,2,0.009999999999999995,-0.009999999999999974,-0.03000000000000001,0.01999999999999997,0.04000000000000001,-1.0000000000000036,0.0041582584381103516,200,
graphstate_nativegates_ibm_opt0_4q,local,1.2,0.01,cat,4,18,20,4,4,-0.029999999999999985,-6.938893903907228e-18,1.3877787807814457e-17,0.029999999999999978,0.03,-6.938893903907233e-16,0.003445148468017578,200,
graphstate_nativegates_ibm_opt0_4q,local,1.0,0.02,cat,4,18,25,2,2,-0.04000000000000001,-0.009999999999999992,-0.055000000000000035,0.030000000000000016,0.015000000000000027,0.4999999999999994,0.0035200119018554688,200,
graphstate_nativegates_ibm_opt0_4q,local,1.0,0.02,cat,4,18,20,4,4,-0.03000000000000004,0.060000000000000005,-0.0383333333333335,0.09000000000000005,0.008333333333333456,0.9074074074074061,0.0033788681030273438,200,
graphstate_nativegates_ibm_opt0_4q,local,1.1,0.02,cat,4,18,25,2,2,0.05,0.01999999999999999,-0.15166666666666676,0.030000000000000013,0.20166666666666677,-5.722222222222222,0.0038237571716308594,200,
graphstate_nativegates_ibm_opt0_4q,local,1.1,0.02,cat,4,18,20,4,4,-0.020000000000000004,0.05000000000000002,0.04333333333333357,0.07000000000000002,0.06333333333333357,0.09523809523809205,0.0033240318298339844,200,
graphstate_nativegates_ibm_opt0_4q,local,1.2,0.02,cat,4,18,25,2,2,0.040000000000000015,-0.09999999999999999,0.15500000000000014,0.14,0.11500000000000013,0.17857142857142771,0.003776073455810547,200,
graphstate_nativegates_ibm_opt0_4q,local,1.2,0.02,cat,4,18,20,4,4,-0.060000000000000026,0.060000000000000005,-0.04000000000000015,0.12000000000000002,0.01999999999999988,0.8333333333333344,0.0034008026123046875,200,
